p2test-0	我想从今以后爸爸和妈妈不要想[对]我的问题
p2test-1	但[定]还是应该的
p2test-2	这种合作关系很快就会瓦解[的]
p2test-3	但是我们一看就知道谁最占便宜[呢]
p2test-4	每年逢[到]5月份
p2test-5	[再说]晚辈应该尊敬长辈
p2test-6	[对]心理方面的压力会越来越大
p2test-7	我想音乐是[对]人们的生活中非常重要的一部分
p2test-8	这个[是]很难但是需要
p2test-9	吃绿色食品的话[成]身体健康
p2test-10	他们认为这儿三年之内找新的河或者川[不]就行
p2test-11	都有[修]读地理
p2test-12	是在我高中毕业后[了]
p2test-13	[对于]爷爷的身体全靠你们了
p2test-14	我[也]开始学习拉二胡
p2test-15	这种想法[就]会造成很不好的气氛和态度
p2test-16	有希望治好的可能性[的话]
p2test-17	但也有很多人不喜欢流行歌曲[的人]
p2test-18	因为[有]我家庭的关系
p2test-19	我忍不住[的]哭了
p2test-20	她在她的房子旁边建了小小的[卖买]咖啡店
p2test-21	就[是]好好儿练练书法和山水画吧
p2test-22	会将我们的压抑减少得不少[的]
p2test-23	我学汉语到小学毕业[了]
p2test-24	我决定[了]去韩国找了朋友
p2test-25	首先表达我[的]对安乐死的意见
p2test-26	我们一时忘了时间[过去]
p2test-27	[或许]边唱边舞
p2test-28	吸烟本来是一种嗜好[品]
p2test-29	但做起来反正不[会]容易
p2test-30	这是我们可在女校里头常常可以看[见]到的问题
p2test-31	每天[很]忙着教汉语
p2test-32	所以到现在还是很重视的热门话题[了]
p2test-33	刚开始人类不知道化肥和农药对生物的影响是怎么样[了]
p2test-34	[于是]代沟问题应该要好好解决
p2test-35	[所以]应该要由政府来处理
p2test-36	我不听[了]
p2test-37	这位老师[他]是一个缅甸人
p2test-38	孩子总是[在]看着父母的行动
p2test-39	在日本青少年[的]抽烟是常见的事
p2test-40	1989年大学毕业[了]
p2test-41	但是他[的]保存的水已经没了
p2test-42	才明白过来[了]
p2test-43	[不如说]家庭造成的气氛
p2test-44	[会]耳濡目染地爱上了音乐
p2test-45	虽然这都是随着社会的潮流状况[来]变化起来的
p2test-46	这几年在日本发生[过]多次的青少年犯罪
p2test-47	所以这无形中会让他们各自都不太了解另一个性别[反而的]
p2test-48	[也是]一个对烟消费的大国
p2test-49	我给那位老师帮忙[了]
p2test-50	母亲说爱养花的人[的]没有坏人
p2test-51	我们都应该努力地去解决这个问题[的]
p2test-52	也许是[一辈的]人都比较刻苦耐劳
p2test-53	[要]患者本人的要求
p2test-54	她一个人养[了]孩子
p2test-55	我同时[这]向许多好友推荐了这本书
p2test-56	不过我有另一个[的]看法
p2test-57	那时候[的]我的感情无比难受
p2test-58	孩子在家里的一举一动由父母来控制[的]
p2test-59	所以[把]这些事都由妈妈承担
p2test-60	我学[了]汉语已经四年了
p2test-61	衣服也尽可能给我买[下]最漂亮的
p2test-62	她[从]以前对志愿者的活动有兴趣
p2test-63	现在才想使用这样的办法[的结果]
p2test-64	就跟着别的和尚[也]喝水了
p2test-65	在日本的航空公司当[了]空姐
p2test-66	特别是人们对吃[的]东西的要求很讲究
p2test-67	所以我没注意到你们也[在]老
p2test-68	他们从不[承]像学校的老师那样刻意地教过我什么
p2test-69	所以现在我的父亲帮助我学习[方面]
p2test-70	当然问题[是]在“过度”的静音环境
p2test-71	人们所谓的绿色食品是用未经污染的农产品加工的[食品]
p2test-72	天气[也]天天都不错
p2test-73	对孩子来说在这个世界上第一看见[过]的人就是父母
p2test-74	那里我一边学英语[了]
p2test-75	目前来进很多人能[够]买自己的车
p2test-76	我们从大阪国际飞机场出发[了]
p2test-77	本人的中学与初级学院均在新加坡顶尖学府[就读]
p2test-78	然后剩下[来]的时间我去打工挣钱
p2test-79	这样的问题不[可以]容易解决的
p2test-80	所以我们买一份礼物[就]送给你们
p2test-81	有[的]好的
p2test-82	这从两个方面来[能]说明
p2test-83	我们才回到家[了]
p2test-84	人是为了靠吃饭才生活在这个世界[的]
p2test-85	假如你一个人[哨]住在一个岛的话
p2test-86	而所有苦事在[于]阅读
p2test-87	因此我确定了将来当汉语老师[的]这个目的
p2test-88	但这次期中考试[中]成绩高了一点
p2test-89	我认为[对]男女分班的问题是很难的
p2test-90	学会了就都不[很]难
p2test-91	我对云南这么有兴趣的理由[就]是因为那边有许多少数民族
p2test-92	不会[是]很远
p2test-93	现代社会上出现的问题中吸烟[问题]是很严重的问题之一
p2test-94	特别是年青人和他们上一辈之间[的]
p2test-95	为了[做]自己的生活
p2test-96	有的学生没有得到恋爱的[恋爱的]机会
p2test-97	千万不要帮助她[的]自杀
p2test-98	而且越学越有意思[的]
p2test-99	[还有]喜欢《勇气》
p2test-100	虽然产量[就]会大大提高
p2test-101	他一直[的]坚持要我学华语
p2test-102	我终于决定[了]打个电话
p2test-103	我很想在弟弟身边帮助他[的]学习
p2test-104	我[更]到了澳洲著名的威尔利艺术学院深造
p2test-105	所以我们规定了“安乐死”的权利[以前]
p2test-106	日语第两[门]外语
p2test-107	如果我是[听是]听话的女儿的话
p2test-108	因为多使用化肥和农药[也]是影响人类的生命
p2test-109	他在自己[也]模仿
p2test-110	所以每天[由]工作太忙了
p2test-111	我每天坐车的时候一定听[了]流行歌
p2test-112	但老人[来]说看这样的年轻人好像收拾马路
p2test-113	我们每天[所]要吃的饭菜生产产方式也有了变化
p2test-114	他小学生的时候由于美国的影响[在]收音机里放的美国音乐很多
p2test-115	而[去]传统文化所凝聚的历史宝地敦煌了
p2test-116	教[过]了三年
p2test-117	[被]获发最高荣誉学位
p2test-118	本人有去[过]许多国家
p2test-119	有不同阶层年龄[段]的人
p2test-120	但她身体怎么不舒服的[时候]也不说
p2test-121	应该通过两代互相的努力增加对话时间[的时候]
p2test-122	但已有经验[的]
p2test-123	我倒觉得家长[们]和老师们不要过于担忧
p2test-124	我是倾向于严格执行法律的[态度]
p2test-125	年轻人与父母之间的距离也开始有了[距离]
p2test-126	可是我不明白他[要]说的意思
p2test-127	[以]繁荣经济发展
p2test-128	我认为旅游是个了解当地[的]风俗习惯的很好的机会
p2test-129	不影响别人最好[的]
p2test-130	我慢慢儿想[得]开了
p2test-131	经济上[也]会独立的女性
p2test-132	所以不知不觉我的思想很排他[的]了
p2test-133	随着经济发展[了]
p2test-134	他真是[在]我一生中难忘的
